group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,good at Liberal Arts,7,71,10,0,88,0,2.4204545454545454,0.8068181818181818,0.5658806920156636,0.4554375061184891
F,good at reading,34,56,0,0,90,0,1.866666667,0.622222222,0.603457435,0.588741127
F,no interested in competitive sports,45,38,6,0,89,0,1.280898876,0.505617978,0.81011285,0.782696924
F,poor at PE,78,2,10,1,90,0.010989011,0.066666667,0.866666667,0.412110168,0.327266101
F,poor at STEM,20,60,10,0,90,0,2,0.666666667,0.772506886,0.663504131
F,poor at math,67,14,8,0,89,0,0.471910112,0.752808989,0.656516654,0.542224599
F,poor at technology,58,27,5,0,90,0,0.9,0.644444444,0.732665619,0.652932705
M,good at PE,83,0,7,0,90,0,2.766666667,0.922222222,0.248775752,0.195932118
M,good at STEM,22,60,8,0,90,0,0.733333333,0.666666667,0.75533401,0.653200406
M,good at math,71,14,5,1,90,0.010989011,2.366666667,0.788888889,0.579909435,0.474612328
M,good at technology,70,16,4,0,90,0,2.333333333,0.777777778,0.583378453,0.483360405
M,interested in competitive sports,68,13,9,0,90,0,2.266666667,0.755555556,0.656757663,0.540721264
M,poor at Liberal Arts,81,0,9,0,90,0,2.7,0.9,0.295903274,0.237541965
M,poor at reading,81,3,6,0,90,0,2.7,0.9,0.353841291,0.272304774
F,_F_MEAN__,,,,,,,1.2866566953506493,0.6950350212597403,0.6504643291450948,0.5732575847312127
M,_M_MEAN__,,,,,,,2.266666667,0.815873016,0.496271411,0.408239037
